,native_250,buffer_250,secialCase_250,leftPadEmber_250,leftPadTravvy_250,leftPad_250
50,243,243,247,244,247,245
500,245,247,245,245,247,243
1000,245,250,245,247,246,248
2500,246,243,244,248,245,247
5000,248,246,247,245,246,246
10000,248,246,248,246,249,245

,native_500,buffer_500,secialCase_500,leftPadEmber_500,leftPadTravvy_500,leftPad_500
50,490,478,475,476,474,475
500,483,471,482,477,475,474
1000,476,475,483,478,484,477
2500,481,475,478,485,478,481
5000,478,479,473,478,472,481
10000,482,469,478,472,477,479

,native_750,buffer_750,secialCase_750,leftPadEmber_750,leftPadTravvy_750,leftPad_750
50,712,713,700,717,716,699
500,716,711,704,697,716,707
1000,708,721,688,726,715,703
2500,702,686,711,716,716,0
5000,704,691,724,684,714,714
10000,698,730,706,708,703,719

,native_1000,buffer_1000,secialCase_1000,leftPadEmber_1000,leftPadTravvy_1000,leftPad_1000
50,916,921,903,914,919,888
500,939,921,937,926,916,919
1000,898,920,937,905,919,916
2500,910,930,935,928,933,908
5000,918,937,940,927,914,927
10000,935,891,921,915,916,944

,native_2000,buffer_2000,secialCase_2000,leftPadEmber_2000,leftPadTravvy_2000,leftPad_2000
50,1266,1273,1243,1333,1349,1145
500,1249,1282,1178,1147,1359,1238
1000,1260,1308,1193,1289,1262,1327
2500,1288,1225,1316,1255,1287,1350
5000,1224,1345,1282,1222,1335,1181
10000,1370,1201,1310,1319,1388,1281

